fr24_id,Timestamp_start,Flight_start,Aircraft_start,Origin_start,Destination_start,Altitude_start,Ground_Speed_start,Vertical_Speed_start,Lat_start,Lon_start,Source_start,ETA_start,distance_to_airport_start,operating_as_start,Timestamp_end,Flight_end,Aircraft_end,Origin_end,Destination_end,Altitude_end,Ground_Speed_end,Vertical_Speed_end,Lat_end,Lon_end,Source_end,ETA_end,distance_to_airport_end,operating_as_end,Start_end_Distance_km,Max_Possible_Distance_km_end,Distance_From_Airport_Start_km,Distance_From_Airport_End_km,Coord_end in Airport Bounds
393152ae,2025-02-20 06:30:00+00:00,SK2198,AT76,KLR,ARN,2300.0,153.0,-704.0,59.69431,18.22064,ADSB,2025-02-20 06:32:45+00:00,16.405387597709293,BRX,,,,,,,,,,,,,,,,,16.405387597709293,,
3931548b,2025-02-20 06:30:00+00:00,D84002,B38M,UME,ARN,3375.0,154.0,-384.0,59.71279,18.37246,ADSB,2025-02-20 06:32:47+00:00,25.161572952240647,NSZ,,,,,,,,,,,,,,,,,25.161572952240647,,
39315505,2025-02-20 06:30:00+00:00,D84030,B38M,LLA,ARN,29675.0,437.0,-1920.0,61.21377,19.06596,ADSB,2025-02-20 07:02:17+00:00,184.15677914465795,NSZ,,,,,,,,,,,,,,,,,184.15677914465795,,
39315629,2025-02-20 06:00:00+00:00,SK86,AT76,VBY,ARN,13000.0,257.0,0.0,58.59558,18.21081,ADSB,2025-02-20 06:21:52+00:00,118.65203945368984,BRX,2025-02-20 06:30:00+00:00,SK86,AT76,VBY,ARN,0.0,3.0,0.0,59.65396,17.93506,ADSB,,0.27114009364477937,BRX,118.73342996372519,2.778,118.65203945368984,0.27114009364477937,True
39315659,2025-02-20 08:30:00+00:00,JU380,A319,BEG,ARN,275.0,130.0,-640.0,59.67021,18.02993,MLAT,2025-02-20 08:30:45+00:00,5.38979739760203,ASL,,,,,,,,,,,,,,,,,5.38979739760203,,
39315800,2025-02-20 07:00:00+00:00,SK3,A20N,LLA,ARN,1275.0,141.0,-896.0,59.68179,18.12053,ADSB,2025-02-20 07:01:04+00:00,10.622900039911295,SAS,,,,,,,,,,,,,,,,,10.622900039911295,,
39315850,2025-02-20 06:30:00+00:00,D82602,B38M,HEL,ARN,7700.0,230.0,-640.0,59.63245,18.70292,MLAT,2025-02-20 06:38:23+00:00,42.94756177163692,NSZ,,,,,,,,,,,,,,,,,42.94756177163692,,
39315a3b,2025-02-20 06:30:00+00:00,JON52,BE20,HFS,ARN,500.0,134.0,-640.0,59.67288,18.04971,ADSB,2025-02-20 06:31:04+00:00,6.53566866248579,JON,,,,,,,,,,,,,,,,,6.53566866248579,,
39315b65,2025-02-20 06:30:00+00:00,SK150,A20N,GOT,ARN,22600.0,346.0,-2112.0,59.59845,16.52289,ADSB,2025-02-20 06:53:37+00:00,79.90014165395749,SZS,,,,,,,,,,,,,,,,,79.90014165395749,,
39315caa,2025-02-20 07:00:00+00:00,SK402,A20N,CPH,ARN,10800.0,314.0,-1216.0,59.0935,18.14544,ADSB,2025-02-20 07:11:52+00:00,63.354057710637974,SAS,,,,,,,,,,,,,,,,,63.354057710637974,,
39315cc7,2025-02-20 07:30:00+00:00,KL1215,E295,AMS,ARN,19350.0,300.0,-1088.0,58.74632,17.58814,ADSB,2025-02-20 07:49:55+00:00,102.84642373805887,KLC,,,,,,,,,,,,,,,,,102.84642373805887,,
39315cc9,2025-02-20 06:30:00+00:00,D82030,B738,RIX,ARN,40000.0,392.0,0.0,58.26767,21.34406,ADSB,2025-02-20 07:00:16+00:00,248.63299203228578,NSZ,2025-02-20 07:00:00+00:00,D82030,B738,RIX,ARN,0.0,21.0,0.0,59.65691,17.93885,ADSB,2025-02-20 06:59:08+00:00,0.3780855394836323,NSZ,248.9008374226646,19.446,248.63299203228578,0.3780855394836323,True
39315ec7,2025-02-20 10:00:00+00:00,TK1793,A21N,IST,ARN,29050.0,406.0,-2048.0,58.07119,17.7572,MLAT,2025-02-20 10:25:04+00:00,176.2626934614034,THY,2025-02-20 10:30:00+00:00,TK1793,A21N,IST,ARN,0.0,1.0,0.0,59.6531,17.9382,ADSB,,0.10339457565402613,THY,176.20779454177713,0.926,176.2626934614034,0.10339457565402613,True
39316041,2025-02-20 07:00:00+00:00,D83194,B38M,CPH,ARN,29625.0,428.0,-4608.0,58.50322,17.13354,ADSB,2025-02-20 07:21:36+00:00,135.9514349953289,NSZ,,,,,,,,,,,,,,,,,135.9514349953289,,
39316149,2025-02-20 06:30:00+00:00,AY803,A320,HEL,ARN,34000.0,414.0,0.0,60.02508,21.93419,MLAT,2025-02-20 07:00:16+00:00,226.90983937429695,FIN,2025-02-20 07:00:00+00:00,AY803,A320,HEL,ARN,0.0,1.0,0.0,59.6449,17.92126,ADSB,,1.4181138760238212,FIN,228.1333967088215,0.926,226.90983937429695,1.4181138760238212,True
3931626a,2025-02-20 10:00:00+00:00,PC1279,A21N,SAW,ARN,20000.0,343.0,-2304.0,59.17738,19.42454,MLAT,2025-02-20 10:22:14+00:00,99.29210060871928,PGT,,,,,,,,,,,,,,,,,99.29210060871928,,
39316840,2025-02-20 07:00:00+00:00,HP661,F50,KRF,ARN,9800.0,265.0,0.0,60.10592,18.3419,MLAT,2025-02-20 07:13:04+00:00,55.07832271512512,APF,,,,,,,,,,,,,,,,,55.07832271512512,,
39316efd,2025-02-20 07:30:00+00:00,DY804,B738,OSL,ARN,2875.0,167.0,-960.0,59.74784,18.20084,ADSB,2025-02-20 07:32:40+00:00,18.010156403682384,NSZ,,,,,,,,,,,,,,,,,18.010156403682384,,
393170ed,2025-02-20 09:00:00+00:00,SK1530,A20N,LHR,ARN,2300.0,169.0,-320.0,59.71175,18.35092,ADSB,2025-02-20 09:02:07+00:00,23.9656761645154,SZS,,,,,,,,,,,,,,,,,23.9656761645154,,
393171a4,2025-02-20 07:30:00+00:00,SK482,A20N,OSL,ARN,20625.0,376.0,-2112.0,59.94067,16.46878,ADSB,2025-02-20 07:52:10+00:00,88.26128108359487,SZS,,,,,,,,,,,,,,,,,88.26128108359487,,
